"","M_SNC_MST_RCNT_ACT_OPN","TOT_HI_CRDT_CRDT_LMT","RATIO_BAL_TO_HI_CRDT","AGRGT_BAL_ALL_XCLD_MRTG","N_OF_SATISFY_FNC_REV_ACTS","AVG_BAL_ALL_FNC_REV_ACTS","N_BANK_INSTLACTS","M_SNCOLDST_BNKINSTL_ACTOPN","N_FNC_INSTLACTS","N_SATISFY_INSTL_ACTS","M_SNC_MSTREC_INSTL_TRD_OPN","TOT_INSTL_HI_CRDT_CRDT_LMT","M_SNC_OLDST_MRTG_ACT_OPN","M_SNC_MSTRCNT_MRTG_ACT_UPD","M_SNC_MST_RCNT_MRTG_DEAL","N30D_ORWRS_RTNG_MRTG_ACTS","N_OF_MRTG_ACTS_DLINQ_24M","N_SATISFY_PRSNL_FNC_ACTS","RATIO_PRSNL_FNC_BAL2HICRDT","TOT_OTHRFIN_HICRDT_CRDTLMT","N_SATISFY_OIL_NATIONL_ACTS","M_SNCOLDST_OIL_NTN_TRD_OPN","N_BC_ACTS_OPN_IN_12M","N_BC_ACTS_OPN_IN_24M","AVG_BAL_ALL_PRM_BC_ACTS","N_RETAIL_ACTS_OPN_IN_24M","M_SNC_OLDST_RETAIL_ACT_OPN","RATIO_RETAIL_BAL2HI_CRDT","TOT_BAL_ALL_DPT_STORE_ACTS","N_30D_RATINGS","N_120D_RATINGS","N_30D_AND_60D_RATINGS","N_ACTS_WITH_MXD_3_IN_24M","N_ACTS_WITH_MXD_4_IN_24M","PRCNT_OF_ACTS_NEVER_DLQNT","N_ACTS_90D_PLS_LTE_IN_6M","TOT_NOW_LTE","N_DEROG_PUB_RECS","N_INQUIRIES","N_FNC_ACTS_VRFY_IN_12M","N_OPEN_REV_ACTS","N_FNC_ACTS_OPN_IN_12M","HI_RETAIL_CRDT_LMT","N_PUB_REC_ACT_LINE_DEROGS","M_SNC_MST_RCNT_60_DAY_RTNG","AUTO_HI_CRDT_2_ACTUAL","MRTG_1_MONTHLY_PAYMENT","MRTG_2_CURRENT_BAL","PREM_BANKCARD_CRED_LMT","STUDENT_HI_CRED_RANGE","AUTO_2_OPEN_DATE_YRS","MAX_MRTG_CLOSE_DATE","UPSCALE_OPEN_DATE_YRS","STUDENT_OPEN_DATE_YRS","FNC_CARD_OPEN_DATE_YRS","AGE","D_DEPTCARD","D_REGION_A","D_REGION_B","D_REGION_C","D_NA_M_SNC_MST_RCNT_ACT_OPN","D_NA_AVG_BAL_ALL_FNC_REV_ACTS","D_NA_M_SNCOLDST_BNKINSTL_ACTOPN","D_NA_M_SNC_OLDST_MRTG_ACT_OPN","D_NA_M_SNC_MST_RCNT_MRTG_DEAL","D_NA_RATIO_PRSNL_FNC_BAL2HICRDT","D_N_DISPUTED_ACTS","PURCHASE","UNIQUE_ID"
"84450",15,20215,93,18795,0,1728.33162193699,1,23,0,0,23,18715,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,2,2518.65422661871,0,165.627093872962,11.2529557030406,0,13,2,19,1,0,0,2,1756,0,10,0,2,0,0,4,0,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,29,0,1,0,0,0,1,0,1,1,1,0,0,4415
"35491",2,408352,35.5,49388,0,1728.33162193699,2,102,3,1,23,36352,139,0,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,1,3,7047,0,128,0,0,0,0,0,0,0,100,0,0,0,3,0,8,0,1000,0,20.8802831142568,50013,1987,0,15000,0,2.20547945205479,3.14067227136849,10.7068493150685,2.48634096737679,1.28191739298384,44,1,0,1,0,0,1,0,0,1,1,0,0,4417
"43531",8,28402,4.8,1362,0,1728.33162193699,0,99.930935709739,1,0,102,0,170,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,2,3,0,0,371,0,0,0,0,0,0,0,100,0,0,0,0,0,6,0,800,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,46,0,1,0,0,0,1,1,0,1,1,0,1,4420
"88610",29,27500,60.8,16719,0,1728.33162193699,0,99.930935709739,1,1,41,27500,140.24170172978,0.668493150684932,26.6519337016575,0,0,1,60.8,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,8,11,10,0,0,50,2,0,2,2,1,0,0,0,4,4,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,65,0,0,0,1,0,1,1,1,1,0,0,0,4424
"51037",18,0,36.0982772631237,0,0,1728.33162193699,1,18,0,0,18,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,51,0,0,0,0,0,1,0,1,1,1,0,0,4426
"56940",9,4000,0,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,1,1,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,52,0,1,0,0,0,1,1,1,1,1,0,0,4427
"28523",34,20000,17.1,3422,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,3422,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,20.8802831142568,0,0,0,23000,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,46,0,0,0,1,0,1,1,1,1,1,0,0,4428
"31346",9,22200,12.9,2871,1,0,0,99.930935709739,1,0,32,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,1,0,0,0,187.545454545455,0,0,1060,0,86,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,1,4,1,0,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,48,0,0,1,0,0,0,1,1,1,0,0,0,4429
"17791",6,55346,63.1,34944,1,784,1,84,2,2,17,46246,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,46246,0,187.545454545455,1,2,2518.65422661871,2,83,28.9,433,3,0,3,0,0,83.3,0,0,0,6,3,8,1,800,0,20.8802831142568,29963,0,0,0,0,2.36712328767123,3.14067227136849,0.536986301369863,2.48634096737679,1.28191739298384,50,1,1,0,0,0,0,0,1,1,1,0,0,4434
"12614",7,190131,41.8,24732,1,0,17,143,1,1,32,34778,159,1,26.6519337016575,0,0,2,52.1986768597471,0,0,187.545454545455,1,1,3800,0,68,0,0,0,0,0,0,0,95.1,0,0,0,5,3,12,0,1400,0,20.8802831142568,34778,204,104175,10500,0,3.53698630136986,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,83,1,1,0,0,0,0,0,0,1,1,0,0,4436
"95076",4,212062,2.9,2570,2,126,0,99.930935709739,0,0,42.1564612125492,0,87,1,26.6519337016575,0,0,0,52.1986768597471,152850,0,215,1,2,767,0,149,11.2529557030406,0,0,0,0,0,0,100,0,0,0,1,3,13,0,0,0,20.8802831142568,0,0,114212,23000,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,52,0,0,0,0,0,0,1,0,1,1,0,1,4437
"45032",10,123684,13.7,14525,2,66,2,132,1,1,56,27884,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,39384,0,187.545454545455,0,1,67,0,544,0.4,41,0,0,0,0,0,100,0,0,0,0,3,16,0,6000,0,20.8802831142568,0,142,0,10900,0,2.33666142281372,0.871232876712329,18.8696309604012,2.48634096737679,1.28191739298384,48,1,0,0,1,0,0,0,1,1,1,1,1,4439
"95686",52,1500,0,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,63,0,0,0,1,0,1,1,1,1,1,0,1,4440
"1187",23,1000,114.2,1142,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,1,23,83.7,0,2,0,3,1,0,33.3,0,0,0,2,0,2,0,400,4,6,0,0,0,0,0,2.33666142281372,3.14067227136849,1.96164383561644,2.48634096737679,1.28191739298384,52,1,0,0,0,0,1,1,1,1,1,0,0,4442
"71453",10,338870,9.7,4927,0,1728.33162193699,2,68,2,0,63,0,174,2,26.6519337016575,0,0,0,52.1986768597471,287870,1,166,0,1,1642,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,3,2,6,1,0,0,20.8802831142568,0,392,0,12000,0,2.33666142281372,0.786301369863014,7.53598050258877,2.48634096737679,1.28191739298384,39,0,1,0,0,0,1,0,0,1,1,0,0,4443
"85193",43,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,51,0,0,0,1,0,1,1,1,1,1,0,0,4444
"10981",4,47904,77.5,37136,0,1728.33162193699,2,17,0,4,4,38304,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,1,1,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,2,0,3,0,0,0,20.8802831142568,0,0,0,0,8,2.33666142281372,3.14067227136849,7.53598050258877,2.91597424956958,1.28191739298384,58,0,0,0,0,0,1,0,1,1,1,0,0,4449
"68751",10,264567,45.6,56287,0,1728.33162193699,2,59,5,2,10,19009,132,0,26.6519337016575,0,0,1,99.6,12533,0,187.545454545455,0,2,6961,0,126,0,0,0,0,0,0,0,100,0,0,0,0,2,9,1,500,0,20.8802831142568,0,738,95858,27000,5,2.33666142281372,3.14067227136849,6.12328767123288,0.832876712328767,0.871232876712329,33,1,0,0,1,0,1,0,0,1,0,0,0,4450
"14719",29.8752999294284,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,80.8185633404105,0,0,0,0,0,0,0,0,1,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,32,0,0,0,1,1,1,1,1,1,1,0,0,4451
"1239",38,22747,37.9,8625,0,1728.33162193699,1,61,2,3,46,22747,140.24170172978,0.668493150684932,26.6519337016575,0,0,2,8.3,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,2,0,2,0,1,14.3,1,0,2,2,2,0,0,0,3,1,0,0,0,0,6,2.33666142281372,3.14067227136849,7.53598050258877,5.08493150684932,1.28191739298384,32,0,0,1,0,0,1,0,1,1,0,0,0,4455
"76116",29.8752999294284,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,80.8185633404105,0,0,0,0,0,0,0,0,2,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,45,0,0,0,0,1,1,1,1,1,1,0,0,4456
"28247",6,52637,0.5,80,2,0,0,99.930935709739,1,0,146,0,180,0,26.6519337016575,0,0,0,52.1986768597471,3000,0,187.545454545455,0,0,80,0,138,0,0,0,0,0,0,0,100,0,0,0,2,2,5,1,700,0,20.8802831142568,0,279,0,12900,0,2.33666142281372,4.12054794520548,7.53598050258877,2.48634096737679,1.28191739298384,53,1,1,0,0,0,0,1,0,1,1,0,0,4457
"74573",105,16000,3.6,569,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,569,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,20.8802831142568,0,0,0,16000,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,45,0,0,1,0,0,1,1,1,1,1,0,0,4458
"27755",4,339500,42.4,34820,1,0,10,104,4,1,4,32000,99,0,26.6519337016575,0,0,1,0,0,0,187.545454545455,0,0,1410,0,112,0,0,0,0,0,0,0,97.1,0,0,0,9,1,8,0,1200,1,52,20751,255,0,21000,0,2.37260273972603,-0.377633056366495,7.53598050258877,2.48634096737679,1.28191739298384,32,1,0,0,1,0,0,0,0,1,0,0,0,4459
